risk_band,service_policy,risk_multiplier,observations,mean_pre7_stockout_hours,mean_forecast,mean_adjusted_demand,mean_safety_stock,mean_inventory_target,mean_shortage,mean_excess,mean_fill_rate,mean_coverage
HIGH,SL95,0.3,24928,3.1418198697964423,7.03603671164927,7.062354751318125,3.7097778411500197,11.380536841061598,0.05194538850962562,4.3701274782530986,0.9984522856461113,2.097267861511273
LOW,SL80,0.0,29114,0.35355106527051294,7.5157916184351174,7.52498070352549,1.016792536275656,8.532584154710772,0.3043303676624243,1.3119338188477085,0.9779823657528577,1.3222500546419254
LOW,SL80,0.1,29114,0.35355106527051294,7.5157916184351174,7.52498070352549,1.016792536275656,8.552432442718416,0.2988640888314202,1.3263158280243479,0.9783169018435542,1.3251702575165833
LOW,SL80,0.2,29114,0.35355106527051294,7.5157916184351174,7.52498070352549,1.016792536275656,8.572280730726058,0.2936163685481782,1.3409163957487484,0.9786366492724801,1.3280904603912413
LOW,SL80,0.3,29114,0.35355106527051294,7.5157916184351174,7.52498070352549,1.016792536275656,8.592129018733702,0.2885613700802179,1.3557096852884316,0.9789426832269555,1.3310106632658993
LOW,SL90,0.0,29114,0.35355106527051294,7.5157916184351174,7.52498070352549,2.2450401394395394,9.760831757874657,0.15696549057218911,2.3928165449213568,0.9917018828655665,1.599686684160869
LOW,SL90,0.1,29114,0.35355106527051294,7.5157916184351174,7.52498070352549,2.2450401394395394,9.783394986359474,0.15373468741643162,2.412148970250417,0.9918347781680594,1.6032151956990663
LOW,SL90,0.2,29114,0.35355106527051294,7.5157916184351174,7.52498070352549,2.2450401394395394,9.80595821484429,0.1506232259008208,2.4316007372196227,0.9919615327110904,1.6067437072372637
LOW,SL90,0.3,29114,0.35355106527051294,7.5157916184351174,7.52498070352549,2.2450401394395394,9.828521443329107,0.14762777603670293,2.4511685158403225,0.9920829018719498,1.610272218775461
LOW,SL95,0.0,29114,0.35355106527051294,7.5157916184351174,7.52498070352549,3.7103521933123695,11.226143811747487,0.08190873421135714,3.7830718424333547,0.996904273394132,1.9305494578745606
LOW,SL95,0.1,29114,0.35355106527051294,7.5157916184351174,7.52498070352549,3.7103521933123695,11.251945503747597,0.07998066778220297,3.806945468004313,0.9969603315170784,1.9348034472742275
LOW,SL95,0.2,29114,0.35355106527051294,7.5157916184351174,7.52498070352549,3.7103521933123695,11.277747195747711,0.07813813634296626,3.830904628565187,0.997013443233248,1.939057436673894
LOW,SL95,0.3,29114,0.35355106527051294,7.5157916184351174,7.52498070352549,3.7103521933123695,11.303548887747821,0.07641358856423178,3.854981772786565,0.9970632587038231,1.9433114260735609
MEDIUM,SL80,0.0,24367,1.7193745639594533,7.308664572211187,7.285378660309757,1.0167041521991949,8.325368724410382,0.28600180844399786,1.3259918725446234,0.9834108474133366,1.3435661489133972
MEDIUM,SL80,0.1,24367,1.7193745639594533,7.308664572211187,7.285378660309757,1.0167041521991949,8.414273451866249,0.2625441509529257,1.391438942509419,0.9848490490160547,1.358013779181074
MEDIUM,SL80,0.2,24367,1.7193745639594533,7.308664572211187,7.285378660309757,1.0167041521991949,8.503178179322116,0.24073772810127225,1.4585372471136324,0.9861639388285054,1.3724614094487506
MEDIUM,SL80,0.3,24367,1.7193745639594533,7.308664572211187,7.285378660309757,1.0167041521991949,8.592082906777986,0.22037438593384315,1.5270786324020715,0.987372173435872,1.3869090397164279
MEDIUM,SL90,0.0,24367,1.7193745639594533,7.308664572211187,7.285378660309757,2.245097140502054,9.553761712713241,0.15917994699364602,2.4275629993971304,0.9936135252392893,1.6334765658574961
MEDIUM,SL90,0.1,24367,1.7193745639594533,7.308664572211187,7.285378660309757,2.245097140502054,9.65586677853036,0.1441843980448975,2.5146725162655015,0.9942368845032348,1.6510502494848913
MEDIUM,SL90,0.2,24367,1.7193745639594533,7.308664572211187,7.285378660309757,2.245097140502054,9.757971844347479,0.1304636692746867,2.6030568533124088,0.9948008456360283,1.668623933112286
MEDIUM,SL90,0.3,24367,1.7193745639594533,7.308664572211187,7.285378660309757,2.245097140502054,9.860076910164599,0.11802699562749099,2.6927252454823325,0.9953088885107126,1.6861976167396813
MEDIUM,SL95,0.0,24367,1.7193745639594533,7.308664572211187,7.285378660309757,3.710502750975161,11.019167323186348,0.09119698066502128,3.824985643541613,0.997362698498872,1.979384371442459
MEDIUM,SL95,0.1,24367,1.7193745639594533,7.308664572211187,7.285378660309757,3.710502750975161,11.137019716701946,0.0817142699678261,3.9333553263600174,0.9976513323137115,2.0006880413413235
MEDIUM,SL95,0.2,24367,1.7193745639594533,7.308664572211187,7.285378660309757,3.710502750975161,11.254872110217546,0.07310936383182311,4.042602813739613,0.9979139313057709,2.021991711240188
MEDIUM,SL95,0.3,24367,1.7193745639594533,7.308664572211187,7.285378660309757,3.710502750975161,11.372724503733147,0.06555586567077,4.15290170909416,0.9981470468566779,2.043295381139053
VERY_HIGH,SL80,0.0,21591,6.29227786710071,7.355617998911583,8.026466789419855,1.0166834036913728,8.372301402602956,0.6979258707774185,1.0437604839605192,0.9507131058905873,1.2408600717577414
VERY_HIGH,SL80,0.1,21591,6.29227786710071,7.355617998911583,8.026466789419855,1.0166834036913728,8.696049472789069,0.5568477481301847,1.2264304314993977,0.9620070128235243,1.2880284791023513
VERY_HIGH,SL80,0.2,21591,6.29227786710071,7.355617998911583,8.026466789419855,1.0166834036913728,9.019797542975182,0.4335980589002663,1.4269288124555914,0.9713477577611606,1.335196886446961
VERY_HIGH,SL80,0.3,21591,6.29227786710071,7.355617998911583,8.026466789419855,1.0166834036913728,9.343545613161293,0.3289977414284556,1.6460765651698932,0.978856623799351,1.382365293791571
VERY_HIGH,SL90,0.0,21591,6.29227786710071,7.355617998911583,8.026466789419855,2.2451105217245413,9.600728520636125,0.41368276779550306,1.987944499011772,0.9779479137654492,1.5075258041203854
VERY_HIGH,SL90,0.1,21591,6.29227786710071,7.355617998911583,8.026466789419855,2.2451105217245413,9.97277401994148,0.3102178688624147,2.256525099384039,0.9843253084999919,1.564804730643261
VERY_HIGH,SL90,0.2,21591,6.29227786710071,7.355617998911583,8.026466789419855,2.2451105217245413,10.344819519246835,0.22569791854182972,2.54405064836881,0.9891313100944783,1.622083657166137
VERY_HIGH,SL90,0.3,21591,6.29227786710071,7.355617998911583,8.026466789419855,2.2451105217245413,10.716865018552191,0.1581860899480758,2.8485843190804117,0.9927098671598426,1.6793625836890127
VERY_HIGH,SL95,0.0,21591,6.29227786710071,7.355617998911583,8.026466789419855,3.7105380949756777,11.06615609388726,0.23702289893768771,3.2767122034050935,0.9905437385485285,1.8258323988614187
VERY_HIGH,SL95,0.1,21591,6.29227786710071,7.355617998911583,8.026466789419855,3.7105380949756777,11.495823968833804,0.1655833195305186,3.6349404989444674,0.9939789053134095,1.8951811721373804
VERY_HIGH,SL95,0.2,21591,6.29227786710071,7.355617998911583,8.026466789419855,3.7105380949756777,11.925491843780348,0.11235156278810136,4.011376617148594,0.9962730327329147,1.9645299454133422
VERY_HIGH,SL95,0.3,21591,6.29227786710071,7.355617998911583,8.026466789419855,3.7105380949756777,12.355159718726892,0.07484937703240561,4.403542306339442,0.99768515422795,2.033878718689304
